,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
0,0,2000,0,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,False
1,1,2000,45,0,0.0,148160.21439816206,133276.1385601695,281436.3529583315,True
2,2,2000,90,0,0.0,148160.21439816206,105156.55808110048,253316.77247926255,False
3,3,2000,135,0,0.0,148160.21439816206,133995.00012509266,282155.2145232547,True
4,4,2000,180,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,True
5,5,2000,225,0,0.0,133293.6462542434,148160.21439816203,281453.8606524055,True
6,6,2000,270,0,0.0,105119.21722235445,148160.21439816203,253279.43162051647,True
7,7,2000,315,0,0.0,133979.535403243,148160.21439816203,282139.749801405,True
8,8,2500,0,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,False
9,9,2500,45,0,0.0,148160.21439816206,138220.29321383018,286380.50761199225,True
10,10,2500,90,0,0.0,148160.21439816206,115240.89621703085,263401.1106151929,False
11,11,2500,135,0,0.0,148160.21439816206,138156.0418742348,286316.2562723969,True
12,12,2500,180,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,True
13,13,2500,225,0,0.0,138168.85372691232,148160.21439816203,286329.0681250744,True
14,14,2500,270,0,0.0,115211.40664158035,148160.21439816203,263371.62103974243,True
15,15,2500,315,0,0.0,138155.50260554845,148160.21439816203,286315.7170037105,True
16,16,3000,0,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,False
17,17,3000,45,0,0.0,148160.21439816206,146459.90096146544,294620.1153596275,False
18,18,3000,90,0,0.0,148160.21439816206,121754.04344264185,269914.25784080394,False
19,19,3000,135,0,0.0,148160.21439816206,146535.14815701777,294695.3625551798,True
20,20,3000,180,0,0.0,148160.21439816206,148160.21439816203,296320.4287963241,True
21,21,3000,225,0,0.0,146494.36273932108,148160.21439816203,294654.57713748317,True
22,22,3000,270,0,0.0,121729.85321556314,148160.21439816203,269890.0676137252,True
23,23,3000,315,0,0.0,146584.3985569397,148160.21439816203,294744.6129551017,False
24,24,2000,0,0,15.0,148148.3344463449,148148.0811148217,296296.41556116665,False
25,25,2000,45,0,15.0,148149.09592502384,130681.30540403075,278830.40132905456,True
26,26,2000,90,0,15.0,148149.09220261278,119151.8270800923,267300.9192827051,False
27,27,2000,135,0,15.0,148149.0882799483,130759.72696300772,278908.81524295604,True
28,28,2000,180,0,15.0,148148.08103512437,148148.33438500026,296296.4154201246,True
29,29,2000,225,0,15.0,130683.52907481788,148149.09604613006,278832.62512094795,True
30,30,2000,270,0,15.0,119146.86106403635,148149.09220261275,267295.9532666491,True
31,31,2000,315,0,15.0,130757.82745694967,148149.08831445232,278906.91577140195,True
32,32,2500,0,0,15.0,148149.11595696493,148149.0663798641,296298.18233682896,False
33,33,2500,45,0,15.0,148149.09455863026,138844.3524947079,286993.44705333817,True
34,34,2500,90,0,15.0,148149.09200376368,123605.63114531293,271754.7231490767,False
35,35,2500,135,0,15.0,148149.08936131845,138920.14199845324,287069.23135977174,True
36,36,2500,180,0,15.0,148149.06644643127,148149.11632207068,296298.182768502,True
37,37,2500,225,0,15.0,138837.29024914576,148149.09452392402,286986.3847730698,True
38,38,2500,270,0,15.0,123601.70911612849,148149.0920037637,271750.8011198922,True
39,39,2500,315,0,15.0,138920.28221777247,148149.08952924836,287069.37174702075,True
40,40,3000,0,0,15.0,148149.1021759504,148149.08091885975,296298.18309481017,False
41,41,3000,45,0,15.0,148149.0941196488,143429.13756735332,291578.2316870021,False
42,42,3000,90,0,15.0,148149.09183018852,130130.80849092762,278279.90032111615,False
43,43,3000,135,0,15.0,148149.09003912675,143450.51833732688,291599.6083764537,True
44,44,3000,180,0,15.0,148149.0810889608,148149.10258620555,296298.1836751664,True
45,45,3000,225,0,15.0,143434.86178482094,148149.0938719949,291583.95565681584,True
46,46,3000,270,0,15.0,130127.5912615326,148149.09183018852,278276.68309172115,True
47,47,3000,315,0,15.0,143457.46816732874,148149.09030832656,291606.55847565527,False
48,48,2000,0,0,30.0,145361.38757109968,145319.75842278296,290681.1459938827,False
49,49,2000,45,0,30.0,145532.92093431126,128651.76061888204,274184.6815531933,True
50,50,2000,90,0,30.0,145532.125235604,124372.02449634689,269904.14973195095,False
51,51,2000,135,0,30.0,145531.2563504513,128668.7405108474,274199.99686129874,True
52,52,2000,180,0,30.0,145319.6273193073,145361.39611922923,290681.0234385365,True
53,53,2000,225,0,30.0,128652.17839121926,145532.91020919732,274185.0886004166,True
54,54,2000,270,0,30.0,124369.52185497555,145532.12925245185,269901.6511074274,True
55,55,2000,315,0,30.0,128669.50127335782,145531.21380722415,274200.715080582,True
56,56,2500,0,0,30.0,145505.57813426072,145489.624853516,290995.2029877766,False
57,57,2500,45,0,30.0,145532.7652382633,135263.3829277739,280796.14816603716,True
58,58,2500,90,0,30.0,145532.21016271497,128834.16222437171,274366.3723870867,False
59,59,2500,135,0,30.0,145531.60455271418,135340.18624926303,280871.79080197716,True
60,60,2500,180,0,30.0,145489.53063268928,145505.49046579358,290995.0210984828,True
61,61,2500,225,0,30.0,135258.909616093,145532.64877142507,280791.5583875181,True
62,62,2500,270,0,30.0,128832.15040965754,145532.21029314923,274364.3607028067,True
63,63,2500,315,0,30.0,135341.30396855687,145531.52335982816,280872.827328385,True
64,64,3000,0,0,30.0,145523.41897869052,145516.47577380866,291039.8947524991,False
65,65,3000,45,0,30.0,145532.49986963512,138831.9900521314,284364.48992176657,False
66,66,3000,90,0,30.0,145532.09237431566,133784.02262317244,279316.1149974881,False
67,67,3000,135,0,30.0,145531.69106181446,138846.8224343049,284378.5134961194,True
68,68,3000,180,0,30.0,145516.45513756177,145523.44838720595,291039.9035247677,True
69,69,3000,225,0,30.0,138836.96244189917,145532.51509251737,284369.4775344165,True
70,70,3000,270,0,30.0,133782.4346143499,145532.09246511784,279314.5270794678,True
71,71,3000,315,0,30.0,138848.89754323303,145531.69571635447,284380.59325958753,False
72,72,2000,0,0,45.0,135298.37978354344,135198.1237545688,270496.5035381123,False
73,73,2000,45,0,45.0,135977.44137577224,121668.83467265965,257646.27604843187,True
74,74,2000,90,0,45.0,136067.8489432278,120372.91134884451,256440.76029207231,False
75,75,2000,135,0,45.0,135974.04113189518,121670.07103736831,257644.11216926348,True
76,76,2000,180,0,45.0,135197.1178067537,135298.46578154506,270495.58358829876,True
77,77,2000,225,0,45.0,121668.70375527779,135977.38348435462,257646.08723963238,True
78,78,2000,270,0,45.0,120371.08086179785,136067.8844553995,256438.96531719738,True
79,79,2000,315,0,45.0,121671.50539351317,135973.65551479073,257645.1609083039,True
80,80,2500,0,0,45.0,135886.3093937977,135843.27944401096,271729.5888378087,False
81,81,2500,45,0,45.0,136015.37269093315,126989.87109341983,263005.243784353,True
82,82,2500,90,0,45.0,136085.87162356247,124038.54586771004,260124.41749127253,False
83,83,2500,135,0,45.0,136013.0482464068,127050.16628813514,263063.21453454194,True
84,84,2500,180,0,45.0,135842.49027574222,135885.59445161378,271728.084727356,True
85,85,2500,225,0,45.0,126986.93179736233,136014.4402627302,263001.3720600925,True
86,86,2500,270,0,45.0,124036.84700368262,136085.86608018444,260122.71308386707,True
87,87,2500,315,0,45.0,127051.30397083814,136012.37557620555,263063.6795470437,True
88,88,3000,0,0,45.0,136020.61645670704,136001.95026642567,272022.5667231327,False
89,89,3000,45,0,45.0,136035.9633250543,129865.94607684291,265901.9094018972,False
90,90,3000,90,0,45.0,136093.079503647,127740.27453652618,263833.3540401732,False
91,91,3000,135,0,45.0,136034.1779637339,129873.848707226,265908.0266709599,True
92,92,3000,180,0,45.0,136001.8201737181,136020.83190823643,272022.6520819545,True
93,93,3000,225,0,45.0,129869.80508579216,136036.09713924443,265905.90222503664,True
94,94,3000,270,0,45.0,127739.32484874138,136093.0802422474,263832.4050909888,True
95,95,3000,315,0,45.0,129874.57675749829,136034.16908797505,265908.7458454733,False
96,96,2000,0,0,60.0,127101.88067104117,127005.89421635061,254107.7748873918,False
97,97,2000,45,0,60.0,127703.88992179537,116382.23102044739,244086.12094224273,True
98,98,2000,90,0,60.0,128067.89410545035,116100.06872729394,244167.96283274432,False
99,99,2000,135,0,60.0,127699.95509816745,116380.02311243118,244079.97821059864,True
100,100,2000,180,0,60.0,127004.09710243276,127102.03818748247,254106.13528991523,True
101,101,2000,225,0,60.0,116381.92957012545,127703.73567733358,244085.665247459,True
102,102,2000,270,0,60.0,116098.50922367218,128068.00475159357,244166.51397526576,True
103,103,2000,315,0,60.0,116381.43903040982,127699.33139892346,244080.77042933326,True
104,104,2500,0,0,60.0,128045.65002417636,128003.40454033564,256049.05456451201,False
105,105,2500,45,0,60.0,127932.11942289455,120729.58226521307,248661.7016881076,True
106,106,2500,90,0,60.0,128205.55972770751,119089.32623172634,247294.88595943383,False
107,107,2500,135,0,60.0,127931.47614082143,120777.60788139368,248709.0840222151,True
108,108,2500,180,0,60.0,128001.97517468243,128044.35370013486,256046.3288748173,True
109,109,2500,225,0,60.0,120727.74661178628,127930.37587454944,248658.12248633575,True
110,110,2500,270,0,60.0,119087.6398831554,128205.50705951029,247293.1469426657,True
111,111,2500,315,0,60.0,120778.60097474801,127930.2462272393,248708.84720198732,True
112,112,3000,0,0,60.0,128288.74735868564,128270.71637394403,256559.46373262964,False
113,113,3000,45,0,60.0,128056.89104268908,123084.82754285696,251141.71858554607,False
114,114,3000,90,0,60.0,128293.85637153024,121997.98352830282,250291.83989983314,False
115,115,3000,135,0,60.0,128054.86791232528,123089.84185025562,251144.70976258087,True
116,116,3000,180,0,60.0,128270.49710389788,128289.13588065276,256559.63298455064,True
117,117,3000,225,0,60.0,123087.88444413192,128057.09577266977,251144.98021680175,True
118,118,3000,270,0,60.0,121997.37304536764,128293.85331185337,250291.22635722102,True
119,119,3000,315,0,60.0,123090.13506601649,128054.82842782332,251144.9634938398,False
120,120,2000,0,0,75.0,123146.42148462082,123072.9162279959,246219.3377126167,False
121,121,2000,45,0,75.0,123109.70565662984,114444.22358166172,237553.92923829157,True
122,122,2000,90,0,75.0,123701.57854778165,114534.80280070008,238236.38134848172,False
123,123,2000,135,0,75.0,123105.01000461688,114440.8632891336,237545.87329375048,True
124,124,2000,180,0,75.0,123070.73882134055,123146.61385005554,246217.3526713961,True
125,125,2000,225,0,75.0,114443.87626196645,123109.36841410476,237553.24467607116,True
126,126,2000,270,0,75.0,114533.41238394326,123701.7886185987,238235.20100254193,True
127,127,2000,315,0,75.0,114442.15302580112,123104.39718062857,237546.55020642967,True
128,128,2500,0,0,75.0,124266.55610208109,124233.71461539723,248500.27071747833,False
129,129,2500,45,0,75.0,123634.21267656906,118122.66220987403,241756.87488644308,True
130,130,2500,90,0,75.0,124041.88408000555,117056.30288295881,241098.1869629644,False
131,131,2500,135,0,75.0,123636.93200447693,118162.39654616188,241799.3285506388,True
132,132,2500,180,0,75.0,124231.97349172912,124264.97428311914,248496.94777484826,True
133,133,2500,225,0,75.0,118121.4730717135,123631.96040578677,241753.43347750025,True
134,134,2500,270,0,75.0,117054.64868418538,124041.74953837677,241096.3982225622,True
135,135,2500,315,0,75.0,118163.26706744458,123635.4202678431,241798.6873352877,True
136,136,3000,0,0,75.0,124564.77221395023,124551.06626934196,249115.83848329217,False
137,137,3000,45,0,75.0,123919.27177704997,120118.36417424932,244037.6359512993,False
138,138,3000,90,0,75.0,124292.8750419859,119465.8855147367,243758.76055672258,False
139,139,3000,135,0,75.0,123917.3782936041,120121.83546726171,244039.2137608658,True
140,140,3000,180,0,75.0,124550.80670126865,124565.24730191237,249116.054003181,True
141,141,3000,225,0,75.0,120120.9004673154,123919.47700406,244040.37747137537,True
142,142,3000,270,0,75.0,119465.4556357722,124292.85865893334,243758.31429470555,True
143,143,3000,315,0,75.0,120121.96250392348,123917.30979688281,244039.27230080627,False
144,144,2000,0,0,90.0,121574.405120134,121520.41541330806,243094.82053344205,False
145,145,2000,45,0,90.0,120793.41205992458,114173.93890791599,234967.35096784058,True
146,146,2000,90,0,90.0,121486.28528001903,114416.7148173406,235903.00009735962,False
147,147,2000,135,0,90.0,120788.13407968414,114170.09088362152,234958.22496330566,True
148,148,2000,180,0,90.0,121518.08995871006,121574.61141747955,243092.70137618957,True
149,149,2000,225,0,90.0,114173.58465839816,120792.84912948072,234966.4337878789,True
150,150,2000,270,0,90.0,114415.44195943348,121486.58456261572,235902.0265220492,True
151,151,2000,315,0,90.0,114171.26768343052,120787.64458473804,234958.91226816853,True
152,152,2500,0,0,90.0,122767.5484897325,122743.04010235233,245510.5885920848,False
153,153,2500,45,0,90.0,121610.42276707229,117409.62007917782,239020.04284625011,True
154,154,2500,90,0,90.0,122029.73332660849,116629.52961574207,238659.26294235056,False
155,155,2500,135,0,90.0,121616.60181024965,117443.94382963245,239060.54563988207,True
156,156,2500,180,0,90.0,122741.17543748987,122765.85231012998,245507.02774761987,True
157,157,2500,225,0,90.0,117408.79784383031,121607.8560271921,239016.6538710224,True
158,158,2500,270,0,90.0,116627.92625769098,122029.51593523804,238657.442192929,True
159,159,2500,315,0,90.0,117444.7272991921,121614.9721244581,239059.69942365025,True
160,160,3000,0,0,90.0,123088.81262369861,123078.86762479386,246167.68024849246,False
161,161,3000,45,0,90.0,122053.28121362916,119166.63518622413,241219.91639985327,False
162,162,3000,90,0,90.0,122460.5274580685,118722.92766124023,241183.45511930878,False
163,163,3000,135,0,90.0,122051.72956718167,119169.20930575208,241220.93887293377,True
164,164,3000,180,0,90.0,123078.5935981173,123089.32332272564,246167.91692084295,True
165,165,3000,225,0,90.0,119168.83873914322,122053.46920105585,241222.3079401991,True
166,166,3000,270,0,90.0,118722.59778742037,122460.49191725183,241183.08970467217,True
167,167,3000,315,0,90.0,119169.26295930572,122051.64291945493,241220.90587876068,False
