,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
0,0,2600,90,0,0,148160.2144,139195.5285,-6.050670198,116769.0734,113307.7428,-2.964252914,264929.2878,252503.2712,-4.690314424,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0000000000114, 2600.0, 3954.313148138127, 2882.1847514902856, 3777.972442913707, 3299.037758455936, 4600.0, 4094.862554830107, 4319.620320000024, 4599.999999999969], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 7200.0, 5200.0, 5662.849639283616, 5206.444511680298, 5200.0, 5200.000000000014, 5200.0, 6031.744993233244, 6545.967152288587, 7199.426145321575]]"
1,1,2600,90,0,0,148160.2144,139195.5285,-6.050670198,116769.0734,113307.7428,-2.964252914,264929.2878,252503.2712,-4.690314424,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0000000000114, 2600.0, 3954.313148138127, 2882.1847514902856, 3777.972442913707, 3299.037758455936, 4600.0, 4094.862554830107, 4319.620320000024, 4599.999999999969], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 7200.0, 5200.0, 5662.849639283616, 5206.444511680298, 5200.0, 5200.000000000014, 5200.0, 6031.744993233244, 6545.967152288587, 7199.426145321575]]"
2,2,2600,90,0,0,148160.2144,139195.5285,-6.050670198,116769.0734,113307.7428,-2.964252914,264929.2878,252503.2712,-4.690314424,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0000000000114, 2600.0, 3954.313148138127, 2882.1847514902856, 3777.972442913707, 3299.037758455936, 4600.0, 4094.862554830107, 4319.620320000024, 4599.999999999969], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 7200.0, 5200.0, 5662.849639283616, 5206.444511680298, 5200.0, 5200.000000000014, 5200.0, 6031.744993233244, 6545.967152288587, 7199.426145321575]]"
3,3,3000,90,0,0,148160.2144,124749.1739,-15.80116541,121754.0434,124464.7407,2.226371486,269914.2578,249213.9146,-7.669229259,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.000000000019, 3000.270545525403, 3434.5354261192356, 3000.34809714532, 3909.4882637907685, 3653.872127552461, 4483.410950309438, 4299.43959425623, 4999.999999989723, 4999.9999999999845], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 7998.30917348665, 6004.43399259416, 6023.314382825286, 6943.6158221055175, 6107.92394346728, 7861.87736094833, 6232.486532485995, 7726.28531119292, 6390.560334603802, 7599.887438866457]]"
4,4,3000,90,0,0,148160.2144,124749.1739,-15.80116541,121754.0434,124464.7407,2.226371486,269914.2578,249213.9146,-7.669229259,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.000000000019, 3000.270545525403, 3434.5354261192356, 3000.34809714532, 3909.4882637907685, 3653.872127552461, 4483.410950309438, 4299.43959425623, 4999.999999989723, 4999.9999999999845], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 7998.30917348665, 6004.43399259416, 6023.314382825286, 6943.6158221055175, 6107.92394346728, 7861.87736094833, 6232.486532485995, 7726.28531119292, 6390.560334603802, 7599.887438866457]]"
5,5,3000,90,0,0,148160.2144,124749.1739,-15.80116541,121754.0434,124464.7407,2.226371486,269914.2578,249213.9146,-7.669229259,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.000000000019, 3000.270545525403, 3434.5354261192356, 3000.34809714532, 3909.4882637907685, 3653.872127552461, 4483.410950309438, 4299.43959425623, 4999.999999989723, 4999.9999999999845], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 7998.30917348665, 6004.43399259416, 6023.314382825286, 6943.6158221055175, 6107.92394346728, 7861.87736094833, 6232.486532485995, 7726.28531119292, 6390.560334603802, 7599.887438866457]]"
6,6,2600,90,0,15,148149.092,137220.9508,-7.376448318,125099.8014,123394.0474,-1.36351457,273248.8935,260614.9982,-4.623585137,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0000000000114, 2600.0, 3954.313148138127, 2882.1847514902856, 3777.972442913707, 3299.037758455936, 4600.0, 4094.862554830107, 4319.620320000024, 4599.999999999969], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 7200.0, 5200.0, 5662.849639283616, 5206.444511680298, 5200.0, 5200.000000000014, 5200.0, 6031.744993233244, 6545.967152288587, 7199.426145321575]]"
7,7,2600,90,0,15,148149.092,137220.9508,-7.376448318,125099.8014,123394.0474,-1.36351457,273248.8935,260614.9982,-4.623585137,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0000000000114, 2600.0, 3954.313148138127, 2882.1847514902856, 3777.972442913707, 3299.037758455936, 4600.0, 4094.862554830107, 4319.620320000024, 4599.999999999969], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 7200.0, 5200.0, 5662.849639283616, 5206.444511680298, 5200.0, 5200.000000000014, 5200.0, 6031.744993233244, 6545.967152288587, 7199.426145321575]]"
8,8,2600,90,0,15,148149.092,137220.9508,-7.376448318,125099.8014,123394.0474,-1.36351457,273248.8935,260614.9982,-4.623585137,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0000000000114, 2600.0, 3954.313148138127, 2882.1847514902856, 3777.972442913707, 3299.037758455936, 4600.0, 4094.862554830107, 4319.620320000024, 4599.999999999969], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 7200.0, 5200.0, 5662.849639283616, 5206.444511680298, 5200.0, 5200.000000000014, 5200.0, 6031.744993233244, 6545.967152288587, 7199.426145321575]]"
9,9,3000,90,0,15,148149.0918,136922.6032,-7.577831562,130130.8085,130412.1215,0.216177124,278279.9003,267334.7247,-3.933153486,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.000000000019, 3000.270545525403, 3434.5354261192356, 3000.34809714532, 3909.4882637907685, 3653.872127552461, 4483.410950309438, 4299.43959425623, 4999.999999989723, 4999.9999999999845], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 7998.30917348665, 6004.43399259416, 6023.314382825286, 6943.6158221055175, 6107.92394346728, 7861.87736094833, 6232.486532485995, 7726.28531119292, 6390.560334603802, 7599.887438866457]]"
10,10,3000,90,0,15,148149.0918,136922.6032,-7.577831562,130130.8085,130412.1215,0.216177124,278279.9003,267334.7247,-3.933153486,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.000000000019, 3000.270545525403, 3434.5354261192356, 3000.34809714532, 3909.4882637907685, 3653.872127552461, 4483.410950309438, 4299.43959425623, 4999.999999989723, 4999.9999999999845], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 7998.30917348665, 6004.43399259416, 6023.314382825286, 6943.6158221055175, 6107.92394346728, 7861.87736094833, 6232.486532485995, 7726.28531119292, 6390.560334603802, 7599.887438866457]]"
11,11,3000,90,0,15,148149.0918,136922.6032,-7.577831562,130130.8085,130412.1215,0.216177124,278279.9003,267334.7247,-3.933153486,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.000000000019, 3000.270545525403, 3434.5354261192356, 3000.34809714532, 3909.4882637907685, 3653.872127552461, 4483.410950309438, 4299.43959425623, 4999.999999989723, 4999.9999999999845], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 7998.30917348665, 6004.43399259416, 6023.314382825286, 6943.6158221055175, 6107.92394346728, 7861.87736094833, 6232.486532485995, 7726.28531119292, 6390.560334603802, 7599.887438866457]]"
0,12,2600,90,0,30,143850.7027,143770.261,-0.055920319,133349.5326,133541.2097,0.143740321,277200.2353,277311.4706,0.040128132,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.004812085214, 2600.0, 2864.201548164651, 3143.779598285935, 3428.5072281973744, 3729.2553733311015, 4015.797199049165, 4300.201170947108, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5275.0626435566965, 7198.841669119597, 7200.0, 7200.0, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 5259.549433960217]]"
0,12,2600,90,0,30,143850.7027,143770.261,-0.055920319,133349.5326,133541.2097,0.143740321,277200.2353,277311.4706,0.040128132,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.004812085214, 2600.0, 2864.201548164651, 3143.779598285935, 3428.5072281973744, 3729.2553733311015, 4015.797199049165, 4300.201170947108, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5275.0626435566965, 7198.841669119597, 7200.0, 7200.0, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 5259.549433960217]]"
0,12,2600,90,0,30,143850.7027,143770.261,-0.055920319,133349.5326,133541.2097,0.143740321,277200.2353,277311.4706,0.040128132,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.004812085214, 2600.0, 2864.201548164651, 3143.779598285935, 3428.5072281973744, 3729.2553733311015, 4015.797199049165, 4300.201170947108, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5275.0626435566965, 7198.841669119597, 7200.0, 7200.0, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 5259.549433960217]]"
15,15,3000,90,0,30,141318.5603,143842.384,1.785910988,137506.0482,135558.3992,-1.416409664,278824.6085,279400.7832,0.20664415,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0057391068567, 3000.0, 3227.743455188457, 3482.518783468496, 3756.8976062077954, 4036.8852023156005, 4339.644575278168, 4675.300553633089, 5000.0, 5000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 6000.000000000001]]"
16,16,3000,90,0,30,141318.5603,143842.384,1.785910988,137506.0482,135558.3992,-1.416409664,278824.6085,279400.7832,0.20664415,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0057391068567, 3000.0, 3227.743455188457, 3482.518783468496, 3756.8976062077954, 4036.8852023156005, 4339.644575278168, 4675.300553633089, 5000.0, 5000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 6000.000000000001]]"
17,17,3000,90,0,30,141318.5603,143842.384,1.785910988,137506.0482,135558.3992,-1.416409664,278824.6085,279400.7832,0.20664415,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0057391068567, 3000.0, 3227.743455188457, 3482.518783468496, 3756.8976062077954, 4036.8852023156005, 4339.644575278168, 4675.300553633089, 5000.0, 5000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 6000.000000000001]]"
18,18,2600,90,0,45,138544.9291,138596.2531,0.037044977,126585.945,126568.3367,-0.013910157,265130.8742,265164.5898,0.0127166,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2901.793385174362, 3216.1223249593213, 3558.4877624154606, 3895.962086916734, 4259.527257491071, 4600.0, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5277.032484137859, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 7200.0, 7200.0, 5200.0, 5892.557263057816]]"
19,19,2600,90,0,45,138544.9291,138596.2531,0.037044977,126585.945,126568.3367,-0.013910157,265130.8742,265164.5898,0.0127166,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2901.793385174362, 3216.1223249593213, 3558.4877624154606, 3895.962086916734, 4259.527257491071, 4600.0, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5277.032484137859, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 7200.0, 7200.0, 5200.0, 5892.557263057816]]"
