,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
20,20,2600,90,0,45,138544.9291,138596.2531,0.037044977,126585.945,126568.3367,-0.013910157,265130.8742,265164.5898,0.0127166,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2901.793385174362, 3216.1223249593213, 3558.4877624154606, 3895.962086916734, 4259.527257491071, 4600.0, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5277.032484137859, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 7200.0, 7200.0, 5200.0, 5892.557263057816]]"
21,21,3000,90,0,45,138556.7385,138675.9585,0.086044188,128548.9495,128479.3488,-0.054143318,267105.688,267155.3074,0.018576675,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0879844621213, 3000.0, 3305.1637542570406, 3636.70342140788, 3963.9029047871895, 4298.639508834207, 4658.348160737178, 5000.0, 4996.697770781375, 4998.862435662686], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.000829300943, 8000.0, 8000.0, 8000.0, 7999.999999999999, 8000.0, 8000.0, 8000.0, 6000.002512484789, 6726.616165049161]]"
22,22,3000,90,0,45,138556.7385,138675.9585,0.086044188,128548.9495,128479.3488,-0.054143318,267105.688,267155.3074,0.018576675,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0879844621213, 3000.0, 3305.1637542570406, 3636.70342140788, 3963.9029047871895, 4298.639508834207, 4658.348160737178, 5000.0, 4996.697770781375, 4998.862435662686], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.000829300943, 8000.0, 8000.0, 8000.0, 7999.999999999999, 8000.0, 8000.0, 8000.0, 6000.002512484789, 6726.616165049161]]"
23,23,3000,90,0,45,138556.7385,138675.9585,0.086044188,128548.9495,128479.3488,-0.054143318,267105.688,267155.3074,0.018576675,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0879844621213, 3000.0, 3305.1637542570406, 3636.70342140788, 3963.9029047871895, 4298.639508834207, 4658.348160737178, 5000.0, 4996.697770781375, 4998.862435662686], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.000829300943, 8000.0, 8000.0, 8000.0, 7999.999999999999, 8000.0, 8000.0, 8000.0, 6000.002512484789, 6726.616165049161]]"
24,24,2600,90,0,60,136519.531,136703.4934,0.134751699,120687.1663,120483.4696,-0.168780737,257206.6973,257186.963,-0.007672545,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 2964.8787239458993, 3356.0769176612234, 3767.688738433114, 4180.2980055755415, 4600.0, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 5925.3241648661915, 7200.0, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 5200.0, 5945.593259465584]]"
25,25,2600,90,0,60,136519.531,136703.4934,0.134751699,120687.1663,120483.4696,-0.168780737,257206.6973,257186.963,-0.007672545,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 2964.8787239458993, 3356.0769176612234, 3767.688738433114, 4180.2980055755415, 4600.0, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 5925.3241648661915, 7200.0, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 5200.0, 5945.593259465584]]"
26,26,2600,90,0,60,136519.531,136703.4934,0.134751699,120687.1663,120483.4696,-0.168780737,257206.6973,257186.963,-0.007672545,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 2964.8787239458993, 3356.0769176612234, 3767.688738433114, 4180.2980055755415, 4600.0, 4600.0, 4600.0], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 5925.3241648661915, 7200.0, 7200.0, 7200.0, 7199.999999999999, 7200.0, 7200.0, 5200.0, 5945.593259465584]]"
27,27,3000,90,0,60,136596.2319,135136.74,-1.068471632,122424.126,122800.3889,0.307343696,259020.358,257937.1288,-0.418202323,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3007.5796269364323, 3320.9139687307975, 3000.0000039813535, 3006.629477221773, 3627.8602562355413, 4019.1851716229066, 4570.149009772387, 4999.99999998513, 4999.999999999979, 4620.910852758092], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6912.515971758765, 6190.813715729333, 7999.964214200611, 7528.9419388923925, 7925.45418260463, 7851.458238435294, 7924.375219757763, 7999.989926702937, 6000.004885925041, 6674.311192374289]]"
28,28,3000,90,0,60,136596.2319,135136.74,-1.068471632,122424.126,122800.3889,0.307343696,259020.358,257937.1288,-0.418202323,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3007.5796269364323, 3320.9139687307975, 3000.0000039813535, 3006.629477221773, 3627.8602562355413, 4019.1851716229066, 4570.149009772387, 4999.99999998513, 4999.999999999979, 4620.910852758092], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6912.515971758765, 6190.813715729333, 7999.964214200611, 7528.9419388923925, 7925.45418260463, 7851.458238435294, 7924.375219757763, 7999.989926702937, 6000.004885925041, 6674.311192374289]]"
29,29,3000,90,0,60,136596.2319,135136.74,-1.068471632,122424.126,122800.3889,0.307343696,259020.358,257937.1288,-0.418202323,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3007.5796269364323, 3320.9139687307975, 3000.0000039813535, 3006.629477221773, 3627.8602562355413, 4019.1851716229066, 4570.149009772387, 4999.99999998513, 4999.999999999979, 4620.910852758092], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6912.515971758765, 6190.813715729333, 7999.964214200611, 7528.9419388923925, 7925.45418260463, 7851.458238435294, 7924.375219757763, 7999.989926702937, 6000.004885925041, 6674.311192374289]]"
30,30,2600,90,0,75,136700.3464,136910.256,0.153554598,117282.1355,117322.0419,0.034025931,253982.4819,254232.2979,0.098359542,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 2600.0000000012164, 3309.588975512151, 3975.012641298231, 4599.999999999998, 4599.9999999954425, 4599.999999999991, 3754.8442429544175], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 6460.759849992431, 5783.136262306114, 7199.9999999747415, 7199.999999974984, 7199.999999981617, 7199.999999999403, 5200.0000000003765, 6216.270179416679, 5200.000000010537]]"
31,31,2600,90,0,75,136700.3464,136910.256,0.153554598,117282.1355,117322.0419,0.034025931,253982.4819,254232.2979,0.098359542,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 2600.0000000012164, 3309.588975512151, 3975.012641298231, 4599.999999999998, 4599.9999999954425, 4599.999999999991, 3754.8442429544175], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 6460.759849992431, 5783.136262306114, 7199.9999999747415, 7199.999999974984, 7199.999999981617, 7199.999999999403, 5200.0000000003765, 6216.270179416679, 5200.000000010537]]"
32,32,2600,90,0,75,136700.3464,136910.256,0.153554598,117282.1355,117322.0419,0.034025931,253982.4819,254232.2979,0.098359542,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 2600.0000000012164, 3309.588975512151, 3975.012641298231, 4599.999999999998, 4599.9999999954425, 4599.999999999991, 3754.8442429544175], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 6460.759849992431, 5783.136262306114, 7199.9999999747415, 7199.999999974984, 7199.999999981617, 7199.999999999403, 5200.0000000003765, 6216.270179416679, 5200.000000010537]]"
33,33,3000,90,0,75,136905.4628,136964.0751,0.042812207,119098.2202,119030.2475,-0.057072793,256003.683,255994.3226,-0.003656366,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0, 3000.0000000119303, 3000.0, 3468.0875491887978, 3980.059171103908, 4500.631327508572, 5000.0, 5000.0, 5000.0, 4003.5420405400514], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.0, 6881.404069283539, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 6000.0, 6895.439486401543, 6000.0]]"
34,34,3000,90,0,75,136905.4628,136964.0751,0.042812207,119098.2202,119030.2475,-0.057072793,256003.683,255994.3226,-0.003656366,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0, 3000.0000000119303, 3000.0, 3468.0875491887978, 3980.059171103908, 4500.631327508572, 5000.0, 5000.0, 5000.0, 4003.5420405400514], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.0, 6881.404069283539, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 6000.0, 6895.439486401543, 6000.0]]"
35,35,3000,90,0,75,136905.4628,136964.0751,0.042812207,119098.2202,119030.2475,-0.057072793,256003.683,255994.3226,-0.003656366,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0, 3000.0000000119303, 3000.0, 3468.0875491887978, 3980.059171103908, 4500.631327508572, 5000.0, 5000.0, 5000.0, 4003.5420405400514], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.0, 6881.404069283539, 8000.0, 8000.0, 8000.0, 8000.0, 8000.0, 6000.0, 6895.439486401543, 6000.0]]"
36,36,2600,90,0,90,136438.7058,136452.7919,0.010324115,116822.7272,116802.6949,-0.017147601,253261.433,253255.4868,-0.002347853,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 3262.352104307712, 3925.1145937902447, 4600.0, 4600.0, 4600.0, 4600.0, 3588.3130759459805], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 6191.412886847893, 7200.0, 7200.0, 7200.0, 7200.0, 5200.0, 5834.164126393798, 6510.967486650774, 5200.0]]"
37,37,2600,90,0,90,136438.7058,136452.7919,0.010324115,116822.7272,116802.6949,-0.017147601,253261.433,253255.4868,-0.002347853,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 3262.352104307712, 3925.1145937902447, 4600.0, 4600.0, 4600.0, 4600.0, 3588.3130759459805], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 6191.412886847893, 7200.0, 7200.0, 7200.0, 7200.0, 5200.0, 5834.164126393798, 6510.967486650774, 5200.0]]"
38,38,2600,90,0,90,136438.7058,136452.7919,0.010324115,116822.7272,116802.6949,-0.017147601,253261.433,253255.4868,-0.002347853,FALSE,"[[2600.0, 2822.222222222222, 3044.4444444444443, 3266.666666666667, 3488.8888888888887, 3711.1111111111113, 3933.3333333333335, 4155.555555555556, 4377.777777777777, 4600.0, 2600.0, 2600.0, 2600.0, 3262.352104307712, 3925.1145937902447, 4600.0, 4600.0, 4600.0, 4600.0, 3588.3130759459805], [3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 3600.0, 5200.0, 6191.412886847893, 7200.0, 7200.0, 7200.0, 7200.0, 5200.0, 5834.164126393798, 6510.967486650774, 5200.0]]"
39,39,3000,90,0,90,136766.0667,136798.4352,0.02366702,118383.8305,118337.1975,-0.039391392,255149.8973,255135.6327,-0.005590669,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0, 3000.000000000008, 3000.0, 3645.021388683292, 4306.208803046015, 5000.0, 4999.999999999997, 5000.0, 5000.0, 3947.19961406946], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.000000000005, 6963.52819589986, 8000.0, 7999.999999999998, 7999.999999999989, 8000.0, 6000.0, 6580.562756395242, 7233.228571554407, 6000.00000000001]]"
40,40,3000,90,0,90,136766.0667,136798.4352,0.02366702,118383.8305,118337.1975,-0.039391392,255149.8973,255135.6327,-0.005590669,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0, 3000.000000000008, 3000.0, 3645.021388683292, 4306.208803046015, 5000.0, 4999.999999999997, 5000.0, 5000.0, 3947.19961406946], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.000000000005, 6963.52819589986, 8000.0, 7999.999999999998, 7999.999999999989, 8000.0, 6000.0, 6580.562756395242, 7233.228571554407, 6000.00000000001]]"
41,41,3000,90,0,90,136766.0667,136798.4352,0.02366702,118383.8305,118337.1975,-0.039391392,255149.8973,255135.6327,-0.005590669,FALSE,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0, 3000.000000000008, 3000.0, 3645.021388683292, 4306.208803046015, 5000.0, 4999.999999999997, 5000.0, 5000.0, 3947.19961406946], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 6000.000000000005, 6963.52819589986, 8000.0, 7999.999999999998, 7999.999999999989, 8000.0, 6000.0, 6580.562756395242, 7233.228571554407, 6000.00000000001]]"
